Change Component Description : Designator=R22 Old Description=Automotive Metal Thin Film Chip Resistor, 0805, 3.3kÎ©, 0.25%, 10ppm/Â°C, 0.125W, 150V New Description=Automotive Metal Thin Film Chip Resistor, 0805, 3.3kO, 0.25%, 10ppm/°C, 0.125W, 150V
Change Component Description : Designator=R23 Old Description=Automotive Metal Thin Film Chip Resistor, 0805, 3.3kÎ©, 0.25%, 10ppm/Â°C, 0.125W, 150V New Description=Automotive Metal Thin Film Chip Resistor, 0805, 3.3kO, 0.25%, 10ppm/°C, 0.125W, 150V
Change Component Description : Designator=R24 Old Description=Automotive Metal Thin Film Chip Resistor, 0805, 3.3kÎ©, 0.25%, 10ppm/Â°C, 0.125W, 150V New Description=Automotive Metal Thin Film Chip Resistor, 0805, 3.3kO, 0.25%, 10ppm/°C, 0.125W, 150V
Change Component Description : Designator=R25 Old Description=Automotive Metal Thin Film Chip Resistor, 0805, 3.3kÎ©, 0.25%, 10ppm/Â°C, 0.125W, 150V New Description=Automotive Metal Thin Film Chip Resistor, 0805, 3.3kO, 0.25%, 10ppm/°C, 0.125W, 150V
Change Component Description : Designator=R1 Old Description=RES Thick Film, 10kÎ©, 1%, 0.125W, 100ppm/Â°C, 0805 New Description=RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805
Change Component Description : Designator=R6 Old Description=RES Thick Film, 10kÎ©, 1%, 0.125W, 100ppm/Â°C, 0805 New Description=RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805
Change Component Description : Designator=R8 Old Description=RES Thick Film, 10kÎ©, 1%, 0.125W, 100ppm/Â°C, 0805 New Description=RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805
Change Component Description : Designator=R9 Old Description=RES Thick Film, 10kÎ©, 1%, 0.125W, 100ppm/Â°C, 0805 New Description=RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805
Change Component Description : Designator=R12 Old Description=RES Thick Film, 10kÎ©, 1%, 0.125W, 100ppm/Â°C, 0805 New Description=RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805
Change Component Description : Designator=R3 Old Description=RES Thick Film, 47kÎ©, 1%, 0.125W, 100ppm/Â°C, 0805 New Description=RES Thick Film, 47kO, 1%, 0.125W, 100ppm/°C, 0805
Change Component Description : Designator=R5 Old Description=RES Thick Film, 47kÎ©, 1%, 0.125W, 100ppm/Â°C, 0805 New Description=RES Thick Film, 47kO, 1%, 0.125W, 100ppm/°C, 0805
Change Component Description : Designator=R10 Old Description=RES Thick Film, 390Î©, 1%, 0.125W, 100ppm/Â°C, 0805 New Description=RES Thick Film, 390O, 1%, 0.125W, 100ppm/°C, 0805
Change Component Description : Designator=R11 Old Description=RES Thick Film, 390Î©, 1%, 0.125W, 100ppm/Â°C, 0805 New Description=RES Thick Film, 390O, 1%, 0.125W, 100ppm/°C, 0805
Change component parameters: Designator = "U8" ("U8"); Footprint = "FAIR-TO-220-3"; UniqueID = "\RBGZEMMR" ("\RBGZEMMR")
Change component parameters (AddParameter): Name = "Accuracy"; Value = "±4%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "LinearRegulator"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "https://datasheet.ciiva.com/26904/lm7805ct-26904988.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "Aug-12"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Line Regulation"; Value = "100mV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Load Regulation"; Value = "100mV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "FairchildSemiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "https://www.fairchildsemi.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Maximum Input Voltage"; Value = "35V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Maximum Output Current"; Value = "2.2(Typ)A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Maximum Quiescent Current"; Value = "8mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting"; Value = "ThroughHole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Outputs"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-40to125degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Type"; Value = "Fixed"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Voltage"; Value = "5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "3TO-220AB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "3-Pin Through Hole Device, Body 10 x 4.5 mm, Pitch 2.54 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "TO-220"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package URL"; Value = "https://www.fairchildsemi.com/package-drawings/TO/TO220B03.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Rail/Tube"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Polarity"; Value = "Positive"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rad Hard"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Linear"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Typical Dropout Voltage @ Current"; Value = "2@1AV"; VariantName = "[No Variations]"
Change component parameters: Designator = "C1" ("C1"); Footprint = "FP-0805-L_2_0_0_2-W_1_25-MFG"; UniqueID = "\TJJFGJGF" ("\TJJFGJGF")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "0.079inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.053inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "16V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.049inch"; VariantName = "[No Variations]"
Change component parameters: Designator = "C6" ("C6"); Footprint = "FP-GRM31C-0_2-e0_3_0_8-MFG"; UniqueID = "\UGCGHPEX" ("\UGCGHPEX")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "22uF"; VariantName = "[No Variations]"
