Altium Designer Pick and Place Locations
C:\Users\PC\Desktop\SUMO_2024\Altium\Project Outputs for PCB_Robot_Sumo_2024\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       12/06/24
Time:       15:00
Revision:   caca63406f1506ccdbe14605c58deaf48ea3d16b
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"W14","Jumper","BottomLayer","Jumper_Mid","206.3500","120.1000","180",""
"W10","Jumper","BottomLayer","Jumper_Mid","206.3500","122.9000","180",""
"W5","Jumper","TopLayer","Jumper_Mini","260.4500","110.5310","270",""
"W3","Jumper","TopLayer","Jumper_Mini","260.5000","108.4000","90",""
"W1","Jumper","TopLayer","Jumper_Mini","260.5000","106.3690","90",""
"W29","Jumper","TopLayer","Jumper_Mid","204.0000","117.0000","0",""
"W28","Jumper","TopLayer","Jumper_Mid","204.0000","120.1500","0",""
"W27","Jumper","BottomLayer","Jumper_Mid","239.7500","92.2492","270",""
"W26","Jumper","BottomLayer","Jumper_Mid","245.0401","101.4599","0",""
"W25","Jumper","BottomLayer","Jumper_Mid","242.4999","92.2492","270",""
"W24","Jumper","BottomLayer","Jumper_Mid","245.0000","104.2500","0",""
"W23","Jumper","BottomLayer","Jumper_Mid","267.9354","121.7500","180",""
"W22","Jumper","BottomLayer","Jumper_Mid","267.9354","127.7500","180",""
"W21","Jumper","BottomLayer","Jumper_Mid","267.9354","137.0000","180",""
"W20","Jumper","BottomLayer","Jumper_Mid","267.9354","124.5000","180",""
"W19","Jumper","BottomLayer","Jumper_Mid","267.9354","130.7000","180",""
"W18","Jumper","BottomLayer","Jumper_Mid","267.9354","133.8147","180",""
"R33","ERJ-P06F1001V","TopLayer","FP-ERJP06-IPC_C","251.0982","127.0732","0","RES SMD 1K OHM 1% 1/2W 0805"
"P8","B4B-PH-K-S(LF)(SN)","TopLayer","JST-B4B-PH-K-S_V","260.8312","133.6000","90","Male Header, Pitch 2 mm, 1 x 4 Position, Height 6 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk"
"P7","B4B-PH-K-S(LF)(SN)","TopLayer","JST-B4B-PH-K-S_V","255.7812","133.6000","90","Male Header, Pitch 2 mm, 1 x 4 Position, Height 6 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk"
"P6","Header 4","TopLayer","HDR1X4","252.0812","133.5800","90","Header, 4-Pin"
"D20","150080BS75000","TopLayer","WL-SMCW_0805_150080xx75000","250.8000","124.8250","180",""
"W17","Jumper","BottomLayer","Jumper_Mid","287.2000","109.1624","90",""
"W16","Jumper","BottomLayer","Jumper_Mid","206.3500","108.9630","180",""
"W15","Jumper","BottomLayer","Jumper_Mid","206.4000","117.2500","180",""
"W13","Jumper","BottomLayer","Jumper_Mid","206.3290","106.2285","180",""
"W12","Jumper","BottomLayer","Jumper_Mid","206.3500","111.7000","180",""
"W11","Jumper","BottomLayer","Jumper_Mid","206.3395","114.5105","180",""
"W9","Jumper","BottomLayer","Jumper_Mid","206.3290","103.3000","180",""
"W8","Jumper","BottomLayer","Jumper_Mid","239.7186","112.9281","90",""
"W7","Jumper","BottomLayer","Jumper_Mid","242.5000","112.9210","90",""
"W6","Jumper","TopLayer","Jumper_Mini","259.2000","110.5310","90",""
"W4","Jumper","TopLayer","Jumper_Mini","259.2000","108.4060","270",""
"W2","Jumper","TopLayer","Jumper_Mini","259.2500","106.3690","270",""
"U9","SN74LVC125APWR","BottomLayer","FP-PW0014A-IPC_B","236.7246","100.1500","0","IC BUF NON-INVERT 3.6V 14TSSOP"
"U8","3.3v","TopLayer","FAIR-TO-220-3","293.4000","104.6250","90","Positive Voltage Regulator, 5 V, 1 A, -40 to 125 degC, 3-Pin TO-220, RoHS, Tube"
"U7","NCP1117DT33T5G","BottomLayer","FP-369C-MFG","290.8300","115.4000","270","IC REG LINEAR 3.3V 1A DPAK"
"U6","TXS0108EQPWRQ1","BottomLayer","FP-PW0020A-MFG","219.5000","119.9750","0","IC TRNSLTR BIDIRECTIONAL 20TSSOP"
"U5","TXS0108EQPWRQ1","BottomLayer","FP-PW0020A-MFG","253.2770","119.8230","180","IC TRNSLTR BIDIRECTIONAL 20TSSOP"
"U4","ADS1115IDGST","BottomLayer","TI-DGS10_N","213.5000","127.9500","90","16-Bit ADC with Integrated Multiplexer, PGA, Comparator, Oscillator, and Reference, -40 to 125 degC, 10-pin SOP (DGS10), Green (RoHS & no Sb/Br)"
"U3","ADS1115IDGST","BottomLayer","TI-DGS10_N","284.9750","128.5000","90","16-Bit ADC with Integrated Multiplexer, PGA, Comparator, Oscillator, and Reference, -40 to 125 degC, 10-pin SOP (DGS10), Green (RoHS & no Sb/Br)"
"U2","PCF8574DWR","TopLayer","DW0016A_L","254.5000","118.5000","180","Remote 8-Bit I/O Expander for I2C-Bus, 2.5 to 6 V, -40 to 85 degC, 16-pin SOIC (DW), Green (RoHS & no Sb/Br)"
"U1","ESP32-S3-WROOM-1 N8R8","TopLayer","PCBComponent_1","236.0125","121.6800","0","SMD MODULE, ESP32-S3R8 WITH 8 MB"
"T3","Test point","TopLayer","Testpoint","261.5000","89.9250","0",""
"T2","Test point","TopLayer","Testpoint","261.5001","93.7496","0",""
"T1","Test point","TopLayer","Testpoint","261.5001","97.5000","0",""
"SW4","FSMSMTR","TopLayer","TECO-FSMSMTR_V","234.6374","99.3118","270","FSMSM Push Button Switch, 50 mA, -35 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
